"","year","region","date_deploy","time_deploy","decimal_latitude_at_deployment_wgs84","decimal_longitude_at_deployment_wgs84","date_retrieve","time_retrieve","dec_lat_retrieve","dec_long_retrieve","sum_micro_m3","fibres_lte5mm_m3","beads_lte5mm_m3","polystyrene_lte5mm_m3","fragments_lte5mm_m3","film_lte5mm_m3","nurdles_lte5mm_m3","paint_flakes_lte5mm_m3"
"235",2020,"Solway","12/01/2020","23:56",54.64817,-4.38267,"12/01/2020","00:33",54.6545,-4.31783,0.0573,0,0,0.0115,0,0.0459,0,0
"236",2020,"Solway","13/01/2020","02:00",54.701,-4.17767,"13/01/2020","02:33",54.71133,-4.13567,0.0226,0,0.0113,0,0,0.0113,0,0
"237",2020,"Solway","13/01/2020","05:53",54.758,-3.848,"13/01/2020","06:26",54.74117,-3.892,1.1486,0,0.0403,0.0202,0.1209,0.665,0.3023,0
"238",2014,"West Highlands","15/01/2014","20:24",57.08783,-6.361,"15/01/2014","21:25",57.11883,-6.551,0.0209,0,0,0,0.0167,0.0042,0,0
"239",2014,"West Highlands","15/01/2014","21:30",57.12033,-6.55833,"15/01/2014","22:32",57.14633,-6.751,0.0234,0,0,0,0.0234,0,0,0
"240",2014,"West Highlands","16/01/2014","07:32",57.72017,-5.915,"16/01/2014","08:08",57.77633,-5.89867,0.6268,0.0196,0,0,0.6072,0,0,0
"241",2014,"West Highlands","16/01/2014","08:49",57.76933,-5.85617,"16/01/2014","09:48",57.7,-5.84467,0.0146,0,0,0,0,0.0146,0,0
"242",2014,"West Highlands","16/01/2014","13:03",57.9365,-5.61017,"16/01/2014","14:05",57.95867,-5.4015,0.0179,0,0.0036,0.0036,0.0107,0,0,0
"243",2014,"West Highlands","16/01/2014","15:50",58.00017,-5.67717,"16/01/2014","16:50",57.99767,-5.88267,0.0523,0,0,0,0.0523,0,0,0
"244",2014,"West Highlands","16/01/2014","16:55",57.99717,-5.891,"16/01/2014","18:02",58.0035,-6.09733,0.0037,0.0037,0,0,0,0,0,0
"245",2014,"West Highlands","17/01/2014","20:01",58.39533,-5.6015,"17/01/2014","21:12",58.36333,-5.414,0.0411,0.0075,0,0,0.0262,0.0075,0,0
"246",2014,"West Highlands","17/01/2014","21:21",58.3695,-5.405,"17/01/2014","23:19",58.55533,-5.208,0.0296,0.003,0,0.0089,0.0148,0,0.003,0
"247",2014,"West Highlands","17/01/2014","23:27",58.5595,-5.20417,"18/01/2014","00:41",58.66383,-5.01267,0.0036,0,0,0.0036,0,0,0,0
"248",2015,"West Highlands","15/01/2015","13:05",57.63733,-6.12467,"15/01/2015","14:06",57.71067,-6.19917,0.0311,0,0,0,0.0311,0,0,0
"249",2015,"West Highlands","16/01/2015","22:28",56.85417,-6.80333,"16/01/2015","23:20",56.92917,-6.80883,0.0306,0,0,0.0122,0.0061,0.0122,0,0
"250",2015,"West Highlands","17/01/2015","01:13",57.09983,-6.79167,"17/01/2015","02:18",57.19033,-6.80383,0.0277,0,0,0,0.0138,0.0138,0,0
"251",2016,"West Highlands","10/01/2016","18:45",57.13483,-6.38283,"10/01/2016","20:05",57.05433,-6.4475,0.0138,0,0,0,0.0046,0.0092,0,0
"252",2016,"West Highlands","10/01/2016","20:09",57.04917,-6.44683,"10/01/2016","21:15",56.98483,-6.51733,0.1161,0.0232,0,0.0116,0.0406,0.0406,0,0
"253",2018,"West Highlands","08/01/2018","18:36",57.98333,-5.74417,"08/01/2018","19:43",57.9455,-5.89667,0.0228,0,0,0,0.0228,0,0,0
"254",2018,"West Highlands","08/01/2018","19:48",57.94417,-5.90167,"08/01/2018","20:54",57.9035,-6.037,0.0353,0,0,0,0.0353,0,0,0
"255",2018,"West Highlands","10/01/2018","21:11",56.8915,-6.3175,"10/01/2018","22:13",56.95283,-6.21183,0.053,0.0118,0.0059,0.0059,0.0177,0.0118,0,0
"256",2018,"West Highlands","11/01/2018","00:33",57.0775,-6.36667,"11/01/2018","01:35",57.02167,-6.47517,0.0438,0,0,0,0.0329,0.011,0,0
"257",2018,"West Highlands","12/01/2018","12:45",58.55617,-5.29717,"12/01/2018","13:49",58.61317,-5.17533,0.0191,0,0,0.0191,0,0,0,0
"258",2020,"West Highlands","09/01/2020","14:52",58.0505,-5.64,"09/01/2020","15:24",58.02617,-5.61717,0.043,0,0.0143,0,0,0.0286,0,0
"259",2020,"West Highlands","09/01/2020","17:22",57.98617,-5.74717,"09/01/2020","17:55",57.96583,-5.77983,0.0112,0,0,0,0,0.0112,0,0
"260",2020,"West Highlands","09/01/2020","18:03",57.96167,-5.7865,"09/01/2020","18:49",57.934,-5.8315,0.0237,0.0158,0,0,0,0,0.0079,0
