hour,long_coord,lat_coord,concentration(ppt)
5,-2.195,55.755,0.016667324
5,-2.195,55.805,0.015852301
5,-2.195,55.855,0.006462969
5,-2.195,55.905,0.001483593
5,-2.145,55.605,0.00092602
5,-2.145,55.655,0.003957182
5,-2.145,55.705,0.010856129
5,-2.145,55.755,0.017495717
5,-2.145,55.805,0.010324908
5,-2.145,55.855,0.002865887
5,-2.145,55.905,0.001206595
5,-2.145,55.955,0.000652869
5,-2.095,55.555,0.000650514
5,-2.095,55.605,0.00065081
5,-2.095,55.655,0.003130663
5,-2.095,55.705,0.009201308
5,-2.095,55.755,0.016943456
5,-2.095,55.805,0.009772168
5,-2.095,55.855,0.002589189
5,-2.095,55.905,0.000652598
5,-2.045,55.555,0.000925428
5,-2.045,55.655,0.003957182
5,-2.045,55.705,0.008649702
5,-2.045,55.755,0.00921179
5,-2.045,55.805,0.007008472
5,-2.045,55.855,0.002035792
5,-2.045,55.905,0.001206595
5,-1.995,55.555,0.000925428
5,-1.995,55.605,0.00065081
5,-1.995,55.655,0.004508194
5,-1.995,55.705,0.006719078
5,-1.995,55.755,0.00617435
5,-1.995,55.805,0.003139297
5,-1.995,55.855,0.00231249
5,-1.995,55.905,0.000652598
5,-1.945,55.605,0.001476439
5,-1.945,55.655,0.0047837
5,-1.945,55.705,0.006443275
5,-1.945,55.755,0.005069826
5,-1.945,55.805,0.002862927
5,-1.945,55.855,0.001205696
5,-1.895,55.505,0.000650219
5,-1.895,55.555,0.000650514
5,-1.895,55.605,0.00065081
5,-1.895,55.655,0.005059207
5,-1.895,55.705,0.003961044
5,-1.895,55.755,0.002032386
5,-1.895,55.805,0.002033818
5,-1.895,55.855,0.000928997
5,-1.845,55.605,0.00092602
5,-1.845,55.655,0.003130663
5,-1.845,55.705,0.003409437
5,-1.845,55.755,0.002860778
5,-1.845,55.805,0.000928339
5,-1.845,55.855,0.000928997
5,-1.795,55.605,0.001751649
5,-1.795,55.655,0.002028638
5,-1.795,55.705,0.003961044
5,-1.795,55.755,0.001480124
5,-1.795,55.855,0.000652299
5,-1.745,55.505,0.000650219
5,-1.745,55.605,0.00092602
5,-1.745,55.655,0.001753131
5,-1.745,55.705,0.002306224
5,-1.745,55.755,0.002032386
5,-1.745,55.805,0.00065197
5,-1.745,55.855,0.000652299
5,-1.695,55.505,0.000650219
5,-1.695,55.555,0.001200342
5,-1.695,55.605,0.001201229
5,-1.695,55.655,0.000926613
5,-1.695,55.705,0.001754617
5,-1.695,55.755,0.001756255
5,-1.695,55.805,0.00065197
5,-1.645,55.555,0.000650514
5,-1.645,55.605,0.00092602
5,-1.645,55.655,0.000651106
5,-1.645,55.705,0.001478814
5,-1.645,55.755,0.001203993
5,-1.595,55.455,0.000649924
5,-1.595,55.505,0.000650219
5,-1.595,55.555,0.001200342
5,-1.595,55.605,0.001201229
5,-1.595,55.705,0.000927207
5,-1.595,55.805,0.00065197
5,-1.545,55.555,0.000925428
5,-1.545,55.605,0.00065081
5,-1.545,55.655,0.000651106
5,-1.545,55.705,0.000651403
5,-1.495,55.505,0.000924838
5,-1.495,55.655,0.000926613
5,-1.395,55.555,0.000650514
5,-1.295,55.555,0.000650514
6,-3.445,55.705,0.00120301
6,-3.395,55.705,0.013889966
6,-3.395,55.755,0.00313691
6,-3.345,55.705,0.029059144
6,-3.345,55.755,0.013629885
6,-3.295,55.705,0.035678419
6,-3.295,55.755,0.020533159
6,-3.245,55.655,0.000651106
6,-3.245,55.705,0.035954219
6,-3.245,55.755,0.030473872
6,-3.245,55.805,0.00065197
6,-3.195,55.705,0.039263861
6,-3.195,55.755,0.044280415
6,-3.195,55.805,0.002033818
6,-3.145,55.655,0.001202119
6,-3.145,55.705,0.034023602
6,-3.145,55.755,0.056982427
6,-3.145,55.805,0.004244776
6,-3.095,55.655,0.003130663
6,-3.095,55.705,0.036505827
6,-3.095,55.755,0.055877901
6,-3.095,55.805,0.010877647
6,-3.095,55.855,0.000928997
6,-3.045,55.655,0.001753131
6,-3.045,55.705,0.030989765
6,-3.045,55.755,0.058363081
6,-3.045,55.805,0.020274216
6,-3.045,55.855,0.001759093
6,-2.995,55.655,0.001202119
6,-2.995,55.705,0.024094685
6,-2.995,55.755,0.054497251
6,-2.995,55.805,0.019721475
6,-2.995,55.855,0.003695983
6,-2.945,55.655,0.002304144
6,-2.945,55.705,0.024370489
6,-2.945,55.755,0.04124298
6,-2.945,55.805,0.026077982
6,-2.945,55.855,0.005632873
6,-2.895,55.655,0.003681675
6,-2.895,55.705,0.016923804
6,-2.895,55.755,0.043175902
6,-2.895,55.805,0.023314284
6,-2.895,55.855,0.007016366
6,-2.895,55.905,0.000929596
6,-2.845,55.655,0.00257965
6,-2.845,55.705,0.018302818
6,-2.845,55.755,0.03461584
6,-2.845,55.805,0.027183461
6,-2.845,55.855,0.010336749
6,-2.845,55.905,0.000652598
6,-2.795,55.655,0.00257965
6,-2.795,55.705,0.015544787
6,-2.795,55.755,0.042347507
6,-2.795,55.805,0.035750922
6,-2.795,55.855,0.011996941
6,-2.795,55.905,0.001206595
6,-2.745,55.655,0.001202119
6,-2.745,55.705,0.020509243
6,-2.745,55.755,0.034891974
6,-2.745,55.805,0.042107423
6,-2.745,55.855,0.013103735
6,-2.745,55.905,0.002591586
6,-2.745,55.955,0.001484674
6,-2.695,55.605,0.00065081
6,-2.695,55.655,0.002028638
6,-2.695,55.705,0.016647998
6,-2.695,55.755,0.035720356
6,-2.695,55.805,0.031605379
6,-2.695,55.855,0.013103736
6,-2.695,55.905,0.004530574
6,-2.695,55.955,0.000930137
6,-2.645,55.655,0.002855157
6,-2.645,55.705,0.013062555
6,-2.645,55.755,0.031578399
6,-2.645,55.805,0.033263597
6,-2.645,55.855,0.020021204
6,-2.645,55.905,0.007023558
6,-2.645,55.955,0.001207406
6,-2.595,55.655,0.002304144
6,-2.595,55.705,0.012510949
6,-2.595,55.755,0.034339709
6,-2.595,55.805,0.036580031
6,-2.595,55.855,0.017530914
6,-2.595,55.905,0.006192563
6,-2.595,55.955,0.000930137
6,-2.545,55.655,0.002304144
6,-2.545,55.705,0.01416577
6,-2.545,55.755,0.032406794
6,-2.545,55.805,0.038238251
6,-2.545,55.855,0.016700817
6,-2.545,55.905,0.007577554
6,-2.545,55.955,0.001207406
6,-2.495,55.605,0.001201229
6,-2.495,55.655,0.001202119
6,-2.495,55.705,0.012235145
6,-2.495,55.755,0.037101021
6,-2.495,55.805,0.038514624
6,-2.495,55.855,0.019744504
6,-2.495,55.905,0.005361568
6,-2.495,55.955,0.001761943
6,-2.445,55.555,0.000650514
6,-2.445,55.655,0.002028638
6,-2.445,55.705,0.009752916
6,-2.445,55.755,0.033235189
6,-2.445,55.805,0.040449205
6,-2.445,55.855,0.01614742
6,-2.445,55.905,0.004530574
6,-2.445,55.955,0.000930137
6,-2.395,55.605,0.00065081
6,-2.395,55.655,0.001753131
6,-2.395,55.705,0.011683539
